지역,졸업자,진학자,일반고,특성화고,특목고,자율고,기타,취업자,무직자및미상,year,특목고비율,사교육비,음주율,우울감경험률,흡연율,비만율
서울,75301,75150,48352,12663,3267,10383,485,2,149,2018,0.0433858780095881,41.5,15.4,29.6,5.7,10.1
부산,26926,26835,17566,5734,2101,1110,324,3,88,2018,0.0780286711728441,31.6,15.9,24.2,5.8,11.9
대구,22753,22644,13993,4135,1224,3176,116,1,108,2018,0.0537951039423372,33.2,14.3,23.1,6.8,11.2
인천,25956,25868,17718,5704,1288,711,447,-,88,2018,0.0496224379719525,30.0,15.4,25.4,6.8,11.2
광주,16074,16039,12143,2768,612,403,113,2,33,2018,0.038073908174692,31.0,17.8,28.3,8.4,9.8
대전,14890,14834,9526,2281,872,2027,128,-,56,2018,0.0585627938213566,29.3,16.1,28.3,5.9,9.9
울산,10817,10790,7668,2009,764,310,39,-,27,2018,0.0706295645742812,29.1,17.7,24.3,7.5,11.7
세종,2698,2691,2171,162,165,182,11,-,7,2018,0.0611564121571534,33.4,13.1,27.5,6.5,8.8
경기,119859,119507,91774,19425,4440,3406,462,4,348,2018,0.0370435261432182,33.2,17.7,28.8,6.8,9.8
강원,14068,14020,10642,2682,541,70,85,-,48,2018,0.0384560705146431,25.5,19.8,25.2,7.7,11.5
충북,14618,14573,9376,3908,744,445,100,2,43,2018,0.0508961554248187,29.1,19.3,26.2,8.1,11.5
충남,19019,18953,13751,3514,752,843,93,1,65,2018,0.0395394079604605,20.2,16.3,24.6,5.6,11.9
전북,18116,18063,13330,3163,872,608,90,1,52,2018,0.0481342459704128,24.5,17.0,27.1,6.7,12.3
전남,16805,16751,11293,4130,729,547,52,3,51,2018,0.0433799464445105,22.0,17.5,26.5,7.2,12.0
경북,22227,22158,15742,3873,1195,1291,57,1,68,2018,0.053763440860215,26.4,18.4,24.3,8.0,12.4
경남,31199,31126,23536,4321,1266,1551,452,1,72,2018,0.0405782236610147,22.6,18.6,25.9,6.9,11.0
제주,6445,6405,4655,1422,270,18,40,-,40,2018,0.0418929402637703,28.2,13.1,26.5,6.0,14.9
서울,75601,75438,50086,12082,3182,9556,532,1,162,2019,0.0420893903519794,46.3,13.0,29.5,5.7,11.0
부산,27190,27083,17724,5769,1998,1224,368,-,107,2019,0.0734828981243104,32.5,14.9,25.4,7.4,11.0
대구,23608,23457,14389,4321,1284,3354,109,-,151,2019,0.0543883429345984,34.2,14.6,25.3,6.0,9.8
인천,26693,26622,18446,5425,1323,1129,299,-,71,2019,0.0495635559884613,33.4,13.4,27.1,7.1,11.8
광주,16339,16311,12426,2731,604,439,111,-,28,2019,0.0369667666319848,31.9,12.5,26.1,6.5,11.1
대전,14897,14861,9680,2096,828,2192,65,-,36,2019,0.0555816607370611,31.7,15.8,29.3,6.8,10.5
울산,11159,11138,8327,1707,772,281,51,-,21,2019,0.069181826328524,30.3,16.6,25.1,7.9,11.9
세종,3333,3324,2857,133,218,86,30,-,9,2019,0.0654065406540654,40.2,13.9,26.5,5.3,7.5
경기,123587,123072,96379,18586,4421,3217,469,-,515,2019,0.0357723708804324,35.7,15.5,30.0,7.2,9.7
강원,13694,13641,10402,2539,542,76,82,3,50,2019,0.0395793778297064,20.9,16.5,27.9,6.3,13.7
충북,14452,14395,9297,3704,744,548,102,1,56,2019,0.0514807639081096,25.9,17.7,31.4,7.0,13.1
충남,19434,19357,14047,3685,779,765,81,-,77,2019,0.040084388185654,28.1,17.3,26.8,8.2,13.7
전북,17796,17758,13427,2826,909,526,70,-,38,2019,0.0510788941335131,27.6,16.6,30.9,6.7,11.2
전남,16513,16475,11330,3881,745,469,50,-,38,2019,0.0451159692363592,22.6,13.3,24.9,5.7,12.4
경북,22210,22139,15939,3827,1149,1164,60,2,69,2019,0.0517334533993696,25.7,16.4,27.4,6.2,11.8
경남,31513,31408,24110,4117,1287,1424,470,9,96,2019,0.0408402881350553,28.9,16.3,25.6,6.7,11.0
제주,6698,6651,5217,1201,208,8,17,-,47,2019,0.0310540459838757,29.8,11.8,26.4,5.9,16.5
서울,72254,72105,48305,10865,3167,9215,553,-,149,2020,0.0438314833780828,49.2,8.8,25.4,3.4,11.4
부산,25351,25251,16838,5321,1956,922,214,-,100,2020,0.0771567196560293,34.0,9.6,23.2,3.7,12.0
대구,21707,21546,13538,4088,1251,2560,109,-,161,2020,0.0576311788823881,34.4,8.5,21.6,2.6,13.2
인천,25495,25412,17853,5084,1285,1078,112,-,83,2020,0.0504020396156109,32.9,10.0,23.3,4.3,14.8
광주,15014,14992,11581,2379,521,436,75,-,22,2020,0.034700945783935,33.2,12.2,25.4,5.7,11.3
대전,14269,14209,9716,1883,840,1699,71,2,58,2020,0.0588688765856051,34.9,11.5,25.7,4.5,12.7
울산,10556,10519,7682,1684,765,361,27,-,37,2020,0.0724706328154604,31.0,12.3,24.8,5.0,13.4
세종,3614,3607,2873,268,220,227,19,-,7,2020,0.06087437742114,37.2,11.2,25.3,4.2,10.9
경기,120268,119878,95466,17152,4210,2602,448,6,384,2020,0.0350051551534905,35.7,9.9,26.8,4.2,10.7
강원,13126,13069,10280,2120,544,55,70,3,54,2020,0.0414444613743714,23.3,14.0,28.5,5.7,12.5
충북,14169,14094,9173,3450,735,663,73,2,73,2020,0.0518738090196908,25.7,12.4,25.2,5.9,14.7
충남,19069,19005,13739,3627,778,796,65,1,63,2020,0.0407992028947506,21.1,12.4,25.3,4.5,13.2
전북,16924,16897,13421,2388,933,107,48,-,27,2020,0.0551288111557551,26.3,12.0,28.3,6.6,13.8
전남,15824,15786,10670,3778,795,494,49,2,36,2020,0.0502401415571284,23.0,12.3,24.0,5.0,11.6
경북,21077,21022,15319,3347,1170,1100,86,3,52,2020,0.0555107463111448,27.2,14.6,22.6,5.9,13.8
경남,30503,30404,23462,3733,1303,1537,369,1,98,2020,0.0427171097924794,28.1,11.8,23.3,4.8,11.6
제주,6306,6246,4934,1114,172,6,20,-,60,2020,0.0272756105296543,28.9,9.3,24.7,4.7,17.7
서울,65516,65381,45929,9110,3019,6958,365,-,135,2021,0.046080346785518,52.6,8.6,26.8,3.3,13.4
부산,23317,23228,15523,4930,1897,673,205,-,89,2021,0.0813569498649054,42.1,9.9,24.2,4.0,13.9
대구,20155,20079,13653,3675,1262,1385,104,-,76,2021,0.0626147357975688,42.2,10.5,24.9,4.6,12.1
인천,23810,23745,17231,4420,1201,739,154,-,65,2021,0.0504409911801764,38.9,9.7,24.2,4.2,14.8
광주,13672,13648,10494,2218,482,402,52,-,24,2021,0.0352545348156816,37.4,11.4,27.2,6.7,13.9
대전,12850,12806,8488,1715,741,1783,79,-,44,2021,0.0576653696498054,35.3,10.0,26.5,4.6,11.3
울산,9839,9810,7309,1573,759,136,33,-,29,2021,0.0771419859741843,34.0,13.2,23.9,3.7,14.8
세종,3666,3657,3069,258,211,101,18,-,9,2021,0.0575559192580469,40.6,8.8,27.1,4.6,10.1
경기,111865,111591,89290,15844,4062,2084,311,1,273,2021,0.0363116256201671,42.2,10.4,28.4,4.4,12.3
강원,12288,12248,9686,1943,520,40,59,-,40,2021,0.0423177083333333,28.9,15.0,28.5,6.1,14.8
충북,13081,13035,8319,3213,688,719,96,-,46,2021,0.0525953673266569,28.7,16.5,28.6,7.3,15.0
충남,17929,17865,13171,3354,702,586,52,1,63,2021,0.0391544425232862,29.2,12.7,30.1,4.2,14.4
전북,15751,15722,12445,2260,853,113,51,-,29,2021,0.0541552917275093,30.0,11.0,27.7,5.6,14.2
전남,14510,14466,10069,3346,712,283,56,-,44,2021,0.0490696071674707,25.6,11.5,25.7,6.0,15.5
경북,19869,19831,14568,2912,1106,1191,54,1,37,2021,0.0556646031506366,31.6,11.2,24.0,4.0,13.6
경남,28331,28283,21966,3460,1268,1285,304,-,48,2021,0.0447566270163425,29.8,11.8,24.9,4.6,14.3
제주,6113,6076,4633,1222,182,7,32,-,37,2021,0.029772615736954,34.2,9.3,28.0,4.3,19.3
서울,67240,67097,49426,7983,2839,6371,478,1,142,2022,0.0422218917311124,60.5,9.9,30.2,3.3,11.4
부산,23660,23587,16152,4862,1940,419,214,1,72,2022,0.0819949281487743,45.0,12.7,24.6,3.9,13.7
대구,19986,19884,14062,3497,1222,939,164,-,102,2022,0.0611427999599719,46.9,11.4,26.6,3.2,12.2
인천,24646,24582,18817,3883,1203,539,140,2,62,2022,0.048811166112148,39.7,12.4,27.9,3.3,12.6
광주,14146,14118,11219,2126,500,228,45,-,28,2022,0.0353456807578113,41.4,15.9,29.8,7.0,12.7
대전,13200,13168,8790,1619,751,1938,70,-,32,2022,0.0568939393939393,41.1,12.5,29.5,3.9,13.0
울산,10208,10170,7761,1553,667,147,42,-,38,2022,0.065340909090909,39.3,15.4,28.4,4.9,11.8
세종,4223,4216,3558,224,221,192,21,-,7,2022,0.0523324650722235,45.8,12.0,30.6,4.7,10.4
경기,119197,118800,97957,15215,3836,1380,412,4,393,2022,0.0321820180038088,47.3,13.2,30.0,4.6,10.0
강원,12069,12024,9637,1792,500,32,63,1,44,2022,0.0414284530615626,30.7,14.1,27.3,5.8,16.2
충북,13371,13304,8767,3158,674,639,66,-,67,2022,0.050407598534141,35.0,16.8,29.0,6.1,14.9
충남,18812,18777,14149,3122,748,686,72,2,33,2022,0.039761854135658,33.6,13.4,28.8,4.2,13.6
전북,15673,15633,12571,2144,770,86,62,-,40,2022,0.049129075480125,30.3,14.9,29.5,6.3,13.2
전남,14937,14898,10479,3316,689,357,57,-,39,2022,0.0461270670147954,30.8,13.5,26.2,6.3,12.2
경북,20140,20094,14612,3141,1113,1174,54,-,46,2022,0.0552631578947368,32.4,16.5,26.7,5.4,14.5
경남,29440,29369,23356,3600,1173,891,349,-,71,2022,0.03984375,35.4,14.4,27.9,4.8,13.3
제주,6392,6357,5000,1107,193,10,47,-,35,2022,0.0301939924906132,36.4,9.9,25.8,4.1,16.7
